,date,sunrise,sunset,first_light,last_light,dawn,dusk,solar_noon,golden_hour,day_length,timezone,utc_offset
0,2018-05-01,6:05:18 AM,7:36:51 PM,4:32:59 AM,9:09:10 PM,5:38:36 AM,8:03:32 PM,12:51:04 PM,7:02:25 PM,13:31:32,America/Los_Angeles,-420.0
1,2018-05-02,6:04:17 AM,7:37:39 PM,4:31:39 AM,9:10:17 PM,5:37:31 AM,8:04:24 PM,12:50:58 PM,7:03:09 PM,13:33:21,America/Los_Angeles,-420.0
2,2018-05-03,6:03:17 AM,7:38:27 PM,4:30:19 AM,9:11:24 PM,5:36:27 AM,8:05:16 PM,12:50:52 PM,7:03:53 PM,13:35:09,America/Los_Angeles,-420.0
3,2018-05-04,6:02:18 AM,7:39:15 PM,4:29:01 AM,9:12:32 PM,5:35:24 AM,8:06:09 PM,12:50:46 PM,7:04:37 PM,13:36:56,America/Los_Angeles,-420.0
4,2018-05-05,6:01:21 AM,7:40:03 PM,4:27:43 AM,9:13:40 PM,5:34:22 AM,8:07:01 PM,12:50:42 PM,7:05:20 PM,13:38:41,America/Los_Angeles,-420.0
5,2018-05-06,6:00:24 AM,7:40:50 PM,4:26:27 AM,9:14:48 PM,5:33:22 AM,8:07:53 PM,12:50:37 PM,7:06:04 PM,13:40:26,America/Los_Angeles,-420.0
6,2018-05-07,5:59:29 AM,7:41:38 PM,4:25:12 AM,9:15:55 PM,5:32:22 AM,8:08:45 PM,12:50:34 PM,7:06:48 PM,13:42:09,America/Los_Angeles,-420.0
7,2018-05-08,5:58:35 AM,7:42:26 PM,4:23:57 AM,9:17:03 PM,5:31:24 AM,8:09:37 PM,12:50:30 PM,7:07:32 PM,13:43:51,America/Los_Angeles,-420.0
8,2018-05-09,5:57:42 AM,7:43:14 PM,4:22:44 AM,9:18:11 PM,5:30:27 AM,8:10:29 PM,12:50:28 PM,7:08:15 PM,13:45:32,America/Los_Angeles,-420.0
9,2018-05-10,5:56:50 AM,7:44:01 PM,4:21:32 AM,9:19:19 PM,5:29:31 AM,8:11:21 PM,12:50:26 PM,7:08:59 PM,13:47:11,America/Los_Angeles,-420.0
10,2018-05-11,5:56:00 AM,7:44:49 PM,4:20:22 AM,9:20:27 PM,5:28:36 AM,8:12:12 PM,12:50:24 PM,7:09:42 PM,13:48:49,America/Los_Angeles,-420.0
11,2018-05-12,5:55:11 AM,7:45:36 PM,4:19:12 AM,9:21:34 PM,5:27:43 AM,8:13:04 PM,12:50:23 PM,7:10:25 PM,13:50:25,America/Los_Angeles,-420.0
12,2018-05-13,5:54:23 AM,7:46:23 PM,4:18:04 AM,9:22:42 PM,5:26:51 AM,8:13:55 PM,12:50:23 PM,7:11:08 PM,13:52:00,America/Los_Angeles,-420.0
13,2018-05-14,5:53:36 AM,7:47:10 PM,4:16:58 AM,9:23:49 PM,5:26:00 AM,8:14:46 PM,12:50:23 PM,7:11:50 PM,13:53:33,America/Los_Angeles,-420.0
14,2018-05-15,5:52:51 AM,7:47:56 PM,4:15:52 AM,9:24:56 PM,5:25:11 AM,8:15:37 PM,12:50:24 PM,7:12:33 PM,13:55:05,America/Los_Angeles,-420.0
15,2018-05-16,5:52:08 AM,7:48:43 PM,4:14:48 AM,9:26:02 PM,5:24:23 AM,8:16:27 PM,12:50:25 PM,7:13:15 PM,13:56:35,America/Los_Angeles,-420.0
16,2018-05-17,5:51:25 AM,7:49:29 PM,4:13:46 AM,9:27:08 PM,5:23:36 AM,8:17:17 PM,12:50:27 PM,7:13:56 PM,13:58:03,America/Los_Angeles,-420.0
17,2018-05-18,5:50:44 AM,7:50:14 PM,4:12:45 AM,9:28:14 PM,5:22:51 AM,8:18:07 PM,12:50:29 PM,7:14:38 PM,13:59:30,America/Los_Angeles,-420.0
18,2018-05-19,5:50:05 AM,7:50:59 PM,4:11:45 AM,9:29:19 PM,5:22:08 AM,8:18:56 PM,12:50:32 PM,7:15:19 PM,14:00:54,America/Los_Angeles,-420.0
19,2018-05-20,5:49:26 AM,7:51:44 PM,4:10:47 AM,9:30:24 PM,5:21:25 AM,8:19:45 PM,12:50:35 PM,7:16:00 PM,14:02:17,America/Los_Angeles,-420.0
