,date,sunrise,sunset,first_light,last_light,dawn,dusk,solar_noon,golden_hour,day_length,timezone,utc_offset
0,2018-05-01,6:15:03 AM,7:57:22 PM,4:37:24 AM,9:35:01 PM,5:47:04 AM,8:25:21 PM,1:06:12 PM,7:21:26 PM,13:42:18,America/Los_Angeles,-420.0
1,2018-05-02,6:13:55 AM,7:58:17 PM,4:35:53 AM,9:36:19 PM,5:45:51 AM,8:26:20 PM,1:06:06 PM,7:22:16 PM,13:44:21,America/Los_Angeles,-420.0
2,2018-05-03,6:12:48 AM,7:59:11 PM,4:34:22 AM,9:37:38 PM,5:44:40 AM,8:27:20 PM,1:06:00 PM,7:23:07 PM,13:46:23,America/Los_Angeles,-420.0
3,2018-05-04,6:11:42 AM,8:00:06 PM,4:32:52 AM,9:38:56 PM,5:43:29 AM,8:28:20 PM,1:05:54 PM,7:23:57 PM,13:48:23,America/Los_Angeles,-420.0
4,2018-05-05,6:10:38 AM,8:01:01 PM,4:31:24 AM,9:40:15 PM,5:42:20 AM,8:29:19 PM,1:05:50 PM,7:24:47 PM,13:50:23,America/Los_Angeles,-420.0
5,2018-05-06,6:09:35 AM,8:01:56 PM,4:29:56 AM,9:41:34 PM,5:41:12 AM,8:30:19 PM,1:05:45 PM,7:25:37 PM,13:52:21,America/Los_Angeles,-420.0
6,2018-05-07,6:08:33 AM,8:02:50 PM,4:28:30 AM,9:42:53 PM,5:40:05 AM,8:31:18 PM,1:05:42 PM,7:26:27 PM,13:54:17,America/Los_Angeles,-420.0
7,2018-05-08,6:07:32 AM,8:03:45 PM,4:27:04 AM,9:44:12 PM,5:38:59 AM,8:32:17 PM,1:05:38 PM,7:27:17 PM,13:56:12,America/Los_Angeles,-420.0
8,2018-05-09,6:06:33 AM,8:04:39 PM,4:25:40 AM,9:45:32 PM,5:37:55 AM,8:33:17 PM,1:05:36 PM,7:28:06 PM,13:58:06,America/Los_Angeles,-420.0
9,2018-05-10,6:05:34 AM,8:05:33 PM,4:24:17 AM,9:46:51 PM,5:36:52 AM,8:34:16 PM,1:05:34 PM,7:28:56 PM,13:59:58,America/Los_Angeles,-420.0
10,2018-05-11,6:04:38 AM,8:06:27 PM,4:22:55 AM,9:48:09 PM,5:35:50 AM,8:35:14 PM,1:05:32 PM,7:29:45 PM,14:01:49,America/Los_Angeles,-420.0
11,2018-05-12,6:03:42 AM,8:07:20 PM,4:21:35 AM,9:49:28 PM,5:34:50 AM,8:36:13 PM,1:05:31 PM,7:30:33 PM,14:03:38,America/Los_Angeles,-420.0
12,2018-05-13,6:02:48 AM,8:08:14 PM,4:20:15 AM,9:50:47 PM,5:33:51 AM,8:37:11 PM,1:05:31 PM,7:31:22 PM,14:05:25,America/Los_Angeles,-420.0
13,2018-05-14,6:01:56 AM,8:09:07 PM,4:18:58 AM,9:52:05 PM,5:32:53 AM,8:38:09 PM,1:05:31 PM,7:32:10 PM,14:07:10,America/Los_Angeles,-420.0
14,2018-05-15,6:01:05 AM,8:09:59 PM,4:17:41 AM,9:53:23 PM,5:31:57 AM,8:39:06 PM,1:05:32 PM,7:32:58 PM,14:08:54,America/Los_Angeles,-420.0
15,2018-05-16,6:00:15 AM,8:10:51 PM,4:16:26 AM,9:54:40 PM,5:31:03 AM,8:40:04 PM,1:05:33 PM,7:33:45 PM,14:10:36,America/Los_Angeles,-420.0
16,2018-05-17,5:59:27 AM,8:11:43 PM,4:15:13 AM,9:55:57 PM,5:30:10 AM,8:41:00 PM,1:05:35 PM,7:34:32 PM,14:12:16,America/Los_Angeles,-420.0
17,2018-05-18,5:58:40 AM,8:12:34 PM,4:14:01 AM,9:57:13 PM,5:29:18 AM,8:41:56 PM,1:05:37 PM,7:35:19 PM,14:13:54,America/Los_Angeles,-420.0
18,2018-05-19,5:57:55 AM,8:13:25 PM,4:12:51 AM,9:58:29 PM,5:28:28 AM,8:42:52 PM,1:05:40 PM,7:36:05 PM,14:15:30,America/Los_Angeles,-420.0
19,2018-05-20,5:57:11 AM,8:14:16 PM,4:11:43 AM,9:59:44 PM,5:27:40 AM,8:43:47 PM,1:05:43 PM,7:36:51 PM,14:17:04,America/Los_Angeles,-420.0
20,2018-05-21,5:56:29 AM,8:15:05 PM,4:10:36 AM,10:00:59 PM,5:26:53 AM,8:44:42 PM,1:05:47 PM,7:37:36 PM,14:18:36,America/Los_Angeles,-420.0
21,2018-05-22,5:55:49 AM,8:15:55 PM,4:09:31 AM,10:02:12 PM,5:26:08 AM,8:45:36 PM,1:05:52 PM,7:38:21 PM,14:20:05,America/Los_Angeles,-420.0
22,2018-05-23,5:55:10 AM,8:16:43 PM,4:08:28 AM,10:03:25 PM,5:25:24 AM,8:46:29 PM,1:05:56 PM,7:39:05 PM,14:21:33,America/Los_Angeles,-420.0
23,2018-05-24,5:54:33 AM,8:17:31 PM,4:07:27 AM,10:04:37 PM,5:24:42 AM,8:47:21 PM,1:06:02 PM,7:39:48 PM,14:22:58,America/Los_Angeles,-420.0
24,2018-05-25,5:53:57 AM,8:18:18 PM,4:06:27 AM,10:05:48 PM,5:24:02 AM,8:48:13 PM,1:06:07 PM,7:40:31 PM,14:24:21,America/Los_Angeles,-420.0
25,2018-05-26,5:53:23 AM,8:19:05 PM,4:05:30 AM,10:06:57 PM,5:23:24 AM,8:49:04 PM,1:06:14 PM,7:41:13 PM,14:25:41,America/Los_Angeles,-420.0
26,2018-05-27,5:52:50 AM,8:19:50 PM,4:04:35 AM,10:08:06 PM,5:22:47 AM,8:49:54 PM,1:06:20 PM,7:41:55 PM,14:26:59,America/Los_Angeles,-420.0
27,2018-05-28,5:52:20 AM,8:20:35 PM,4:03:42 AM,10:09:13 PM,5:22:12 AM,8:50:43 PM,1:06:27 PM,7:42:36 PM,14:28:15,America/Los_Angeles,-420.0
28,2018-05-29,5:51:50 AM,8:21:19 PM,4:02:51 AM,10:10:19 PM,5:21:39 AM,8:51:31 PM,1:06:35 PM,7:43:16 PM,14:29:28,America/Los_Angeles,-420.0
29,2018-05-30,5:51:23 AM,8:22:02 PM,4:02:02 AM,10:11:23 PM,5:21:07 AM,8:52:18 PM,1:06:43 PM,7:43:55 PM,14:30:39,America/Los_Angeles,-420.0
30,2018-05-31,5:50:57 AM,8:22:44 PM,4:01:15 AM,10:12:26 PM,5:20:37 AM,8:53:04 PM,1:06:51 PM,7:44:33 PM,14:31:47,America/Los_Angeles,-420.0
31,2018-06-01,5:50:33 AM,8:23:26 PM,4:00:31 AM,10:13:28 PM,5:20:10 AM,8:53:49 PM,1:06:59 PM,7:45:11 PM,14:32:52,America/Los_Angeles,-420.0
32,2018-06-02,5:50:11 AM,8:24:06 PM,3:59:49 AM,10:14:28 PM,5:19:44 AM,8:54:33 PM,1:07:08 PM,7:45:48 PM,14:33:54,America/Los_Angeles,-420.0
33,2018-06-03,5:49:50 AM,8:24:45 PM,3:59:10 AM,10:15:26 PM,5:19:20 AM,8:55:16 PM,1:07:18 PM,7:46:23 PM,14:34:54,America/Los_Angeles,-420.0
34,2018-06-04,5:49:31 AM,8:25:23 PM,3:58:32 AM,10:16:22 PM,5:18:57 AM,8:55:57 PM,1:07:27 PM,7:46:58 PM,14:35:51,America/Los_Angeles,-420.0
35,2018-06-05,5:49:14 AM,8:26:00 PM,3:57:58 AM,10:17:16 PM,5:18:37 AM,8:56:37 PM,1:07:37 PM,7:47:32 PM,14:36:45,America/Los_Angeles,-420.0
36,2018-06-06,5:48:59 AM,8:26:36 PM,3:57:26 AM,10:18:09 PM,5:18:18 AM,8:57:16 PM,1:07:47 PM,7:48:05 PM,14:37:37,America/Los_Angeles,-420.0
37,2018-06-07,5:48:45 AM,8:27:10 PM,3:56:56 AM,10:18:59 PM,5:18:02 AM,8:57:53 PM,1:07:58 PM,7:48:37 PM,14:38:25,America/Los_Angeles,-420.0
38,2018-06-08,5:48:33 AM,8:27:44 PM,3:56:29 AM,10:19:47 PM,5:17:47 AM,8:58:30 PM,1:08:08 PM,7:49:07 PM,14:39:10,America/Los_Angeles,-420.0
39,2018-06-09,5:48:23 AM,8:28:16 PM,3:56:05 AM,10:20:34 PM,5:17:34 AM,8:59:04 PM,1:08:19 PM,7:49:37 PM,14:39:53,America/Los_Angeles,-420.0
40,2018-06-10,5:48:14 AM,8:28:47 PM,3:55:43 AM,10:21:18 PM,5:17:23 AM,8:59:37 PM,1:08:30 PM,7:50:05 PM,14:40:32,America/Los_Angeles,-420.0
41,2018-06-11,5:48:07 AM,8:29:16 PM,3:55:24 AM,10:21:59 PM,5:17:14 AM,9:00:09 PM,1:08:42 PM,7:50:33 PM,14:41:08,America/Los_Angeles,-420.0
42,2018-06-12,5:48:02 AM,8:29:44 PM,3:55:07 AM,10:22:39 PM,5:17:07 AM,9:00:39 PM,1:08:53 PM,7:50:59 PM,14:41:41,America/Los_Angeles,-420.0
43,2018-06-13,5:47:59 AM,8:30:11 PM,3:54:54 AM,10:23:16 PM,5:17:02 AM,9:01:08 PM,1:09:05 PM,7:51:24 PM,14:42:12,America/Los_Angeles,-420.0
44,2018-06-14,5:47:57 AM,8:30:36 PM,3:54:43 AM,10:23:50 PM,5:16:58 AM,9:01:35 PM,1:09:17 PM,7:51:47 PM,14:42:38,America/Los_Angeles,-420.0
45,2018-06-15,5:47:57 AM,8:31:00 PM,3:54:35 AM,10:24:22 PM,5:16:57 AM,9:02:00 PM,1:09:28 PM,7:52:10 PM,14:43:02,America/Los_Angeles,-420.0
46,2018-06-16,5:47:59 AM,8:31:22 PM,3:54:29 AM,10:24:52 PM,5:16:57 AM,9:02:24 PM,1:09:40 PM,7:52:31 PM,14:43:23,America/Los_Angeles,-420.0
47,2018-06-17,5:48:02 AM,8:31:43 PM,3:54:27 AM,10:25:18 PM,5:17:00 AM,9:02:45 PM,1:09:53 PM,7:52:51 PM,14:43:40,America/Los_Angeles,-420.0
48,2018-06-18,5:48:07 AM,8:32:02 PM,3:54:27 AM,10:25:43 PM,5:17:04 AM,9:03:06 PM,1:10:05 PM,7:53:09 PM,14:43:54,America/Los_Angeles,-420.0
49,2018-06-19,5:48:14 AM,8:32:20 PM,3:54:30 AM,10:26:04 PM,5:17:10 AM,9:03:24 PM,1:10:17 PM,7:53:26 PM,14:44:05,America/Los_Angeles,-420.0
50,2018-06-20,5:48:22 AM,8:32:36 PM,3:54:35 AM,10:26:23 PM,5:17:18 AM,9:03:41 PM,1:10:29 PM,7:53:42 PM,14:44:13,America/Los_Angeles,-420.0
51,2018-06-21,5:48:32 AM,8:32:50 PM,3:54:44 AM,10:26:39 PM,5:17:27 AM,9:03:55 PM,1:10:41 PM,7:53:56 PM,14:44:18,America/Los_Angeles,-420.0
52,2018-06-22,5:48:44 AM,8:33:03 PM,3:54:55 AM,10:26:52 PM,5:17:39 AM,9:04:08 PM,1:10:54 PM,7:54:09 PM,14:44:19,America/Los_Angeles,-420.0
53,2018-06-23,5:48:57 AM,8:33:15 PM,3:55:08 AM,10:27:03 PM,5:17:52 AM,9:04:19 PM,1:11:06 PM,7:54:20 PM,14:44:17,America/Los_Angeles,-420.0
54,2018-06-24,5:49:12 AM,8:33:24 PM,3:55:25 AM,10:27:11 PM,5:18:07 AM,9:04:29 PM,1:11:18 PM,7:54:30 PM,14:44:12,America/Los_Angeles,-420.0
55,2018-06-25,5:49:28 AM,8:33:32 PM,3:55:44 AM,10:27:16 PM,5:18:24 AM,9:04:36 PM,1:11:30 PM,7:54:38 PM,14:44:04,America/Los_Angeles,-420.0
56,2018-06-26,5:49:46 AM,8:33:38 PM,3:56:06 AM,10:27:18 PM,5:18:42 AM,9:04:41 PM,1:11:42 PM,7:54:45 PM,14:43:52,America/Los_Angeles,-420.0
57,2018-06-27,5:50:05 AM,8:33:42 PM,3:56:30 AM,10:27:17 PM,5:19:02 AM,9:04:45 PM,1:11:54 PM,7:54:50 PM,14:43:37,America/Los_Angeles,-420.0
58,2018-06-28,5:50:25 AM,8:33:45 PM,3:56:57 AM,10:27:13 PM,5:19:24 AM,9:04:46 PM,1:12:05 PM,7:54:54 PM,14:43:19,America/Los_Angeles,-420.0
59,2018-06-29,5:50:48 AM,8:33:46 PM,3:57:27 AM,10:27:07 PM,5:19:48 AM,9:04:46 PM,1:12:17 PM,7:54:56 PM,14:42:58,America/Los_Angeles,-420.0
60,2018-06-30,5:51:11 AM,8:33:45 PM,3:57:59 AM,10:26:58 PM,5:20:13 AM,9:04:44 PM,1:12:28 PM,7:54:57 PM,14:42:34,America/Los_Angeles,-420.0
61,2018-07-01,5:51:36 AM,8:33:43 PM,3:58:33 AM,10:26:46 PM,5:20:39 AM,9:04:40 PM,1:12:39 PM,7:54:56 PM,14:42:06,America/Los_Angeles,-420.0
62,2018-07-02,5:52:02 AM,8:33:39 PM,3:59:10 AM,10:26:31 PM,5:21:07 AM,9:04:33 PM,1:12:50 PM,7:54:54 PM,14:41:36,America/Los_Angeles,-420.0
63,2018-07-03,5:52:30 AM,8:33:32 PM,3:59:49 AM,10:26:14 PM,5:21:37 AM,9:04:25 PM,1:13:01 PM,7:54:50 PM,14:41:02,America/Los_Angeles,-420.0
64,2018-07-04,5:52:59 AM,8:33:25 PM,4:00:30 AM,10:25:54 PM,5:22:08 AM,9:04:15 PM,1:13:12 PM,7:54:44 PM,14:40:25,America/Los_Angeles,-420.0
65,2018-07-05,5:53:29 AM,8:33:15 PM,4:01:13 AM,10:25:31 PM,5:22:41 AM,9:04:03 PM,1:13:22 PM,7:54:37 PM,14:39:46,America/Los_Angeles,-420.0
66,2018-07-06,5:54:00 AM,8:33:04 PM,4:01:59 AM,10:25:05 PM,5:23:15 AM,9:03:49 PM,1:13:32 PM,7:54:28 PM,14:39:03,America/Los_Angeles,-420.0
67,2018-07-07,5:54:33 AM,8:32:50 PM,4:02:46 AM,10:24:37 PM,5:23:50 AM,9:03:33 PM,1:13:42 PM,7:54:17 PM,14:38:17,America/Los_Angeles,-420.0
68,2018-07-08,5:55:06 AM,8:32:35 PM,4:03:36 AM,10:24:06 PM,5:24:27 AM,9:03:15 PM,1:13:51 PM,7:54:05 PM,14:37:29,America/Los_Angeles,-420.0
69,2018-07-09,5:55:41 AM,8:32:19 PM,4:04:27 AM,10:23:32 PM,5:25:04 AM,9:02:55 PM,1:14:00 PM,7:53:51 PM,14:36:37,America/Los_Angeles,-420.0
70,2018-07-10,5:56:17 AM,8:32:00 PM,4:05:21 AM,10:22:56 PM,5:25:43 AM,9:02:34 PM,1:14:09 PM,7:53:36 PM,14:35:43,America/Los_Angeles,-420.0
71,2018-07-11,5:56:54 AM,8:31:40 PM,4:06:16 AM,10:22:18 PM,5:26:24 AM,9:02:10 PM,1:14:17 PM,7:53:19 PM,14:34:46,America/Los_Angeles,-420.0
72,2018-07-12,5:57:32 AM,8:31:18 PM,4:07:13 AM,10:21:37 PM,5:27:05 AM,9:01:45 PM,1:14:25 PM,7:53:00 PM,14:33:46,America/Los_Angeles,-420.0
73,2018-07-13,5:58:11 AM,8:30:54 PM,4:08:11 AM,10:20:54 PM,5:27:48 AM,9:01:17 PM,1:14:32 PM,7:52:40 PM,14:32:43,America/Los_Angeles,-420.0
74,2018-07-14,5:58:50 AM,8:30:29 PM,4:09:11 AM,10:20:08 PM,5:28:31 AM,9:00:48 PM,1:14:40 PM,7:52:18 PM,14:31:38,America/Los_Angeles,-420.0
75,2018-07-15,5:59:31 AM,8:30:01 PM,4:10:12 AM,10:19:20 PM,5:29:16 AM,9:00:17 PM,1:14:46 PM,7:51:55 PM,14:30:30,America/Los_Angeles,-420.0
76,2018-07-16,6:00:12 AM,8:29:33 PM,4:11:15 AM,10:18:30 PM,5:30:01 AM,8:59:44 PM,1:14:52 PM,7:51:30 PM,14:29:20,America/Los_Angeles,-420.0
77,2018-07-17,6:00:55 AM,8:29:02 PM,4:12:19 AM,10:17:37 PM,5:30:47 AM,8:59:09 PM,1:14:58 PM,7:51:03 PM,14:28:07,America/Los_Angeles,-420.0
78,2018-07-18,6:01:38 AM,8:28:30 PM,4:13:25 AM,10:16:43 PM,5:31:35 AM,8:58:33 PM,1:15:04 PM,7:50:35 PM,14:26:51,America/Los_Angeles,-420.0
79,2018-07-19,6:02:22 AM,8:27:56 PM,4:14:31 AM,10:15:46 PM,5:32:23 AM,8:57:54 PM,1:15:09 PM,7:50:05 PM,14:25:33,America/Los_Angeles,-420.0
80,2018-07-20,6:03:06 AM,8:27:20 PM,4:15:39 AM,10:14:47 PM,5:33:12 AM,8:57:14 PM,1:15:13 PM,7:49:33 PM,14:24:13,America/Los_Angeles,-420.0
81,2018-07-21,6:03:51 AM,8:26:42 PM,4:16:47 AM,10:13:46 PM,5:34:01 AM,8:56:32 PM,1:15:17 PM,7:49:00 PM,14:22:51,America/Los_Angeles,-420.0
82,2018-07-22,6:04:37 AM,8:26:03 PM,4:17:57 AM,10:12:44 PM,5:34:52 AM,8:55:49 PM,1:15:20 PM,7:48:25 PM,14:21:26,America/Los_Angeles,-420.0
83,2018-07-23,6:05:23 AM,8:25:23 PM,4:19:07 AM,10:11:39 PM,5:35:43 AM,8:55:04 PM,1:15:23 PM,7:47:49 PM,14:19:59,America/Los_Angeles,-420.0
84,2018-07-24,6:06:10 AM,8:24:41 PM,4:20:19 AM,10:10:32 PM,5:36:34 AM,8:54:17 PM,1:15:25 PM,7:47:12 PM,14:18:30,America/Los_Angeles,-420.0
85,2018-07-25,6:06:58 AM,8:23:57 PM,4:21:30 AM,10:09:24 PM,5:37:26 AM,8:53:28 PM,1:15:27 PM,7:46:32 PM,14:16:58,America/Los_Angeles,-420.0
86,2018-07-26,6:07:46 AM,8:23:11 PM,4:22:43 AM,10:08:14 PM,5:38:19 AM,8:52:38 PM,1:15:29 PM,7:45:51 PM,14:15:25,America/Los_Angeles,-420.0
87,2018-07-27,6:08:34 AM,8:22:24 PM,4:23:56 AM,10:07:02 PM,5:39:12 AM,8:51:46 PM,1:15:29 PM,7:45:09 PM,14:13:50,America/Los_Angeles,-420.0
88,2018-07-28,6:09:23 AM,8:21:36 PM,4:25:10 AM,10:05:49 PM,5:40:06 AM,8:50:53 PM,1:15:29 PM,7:44:25 PM,14:12:13,America/Los_Angeles,-420.0
89,2018-07-29,6:10:12 AM,8:20:46 PM,4:26:24 AM,10:04:34 PM,5:41:00 AM,8:49:58 PM,1:15:29 PM,7:43:40 PM,14:10:33,America/Los_Angeles,-420.0
