,date,sunrise,sunset,first_light,last_light,dawn,dusk,solar_noon,golden_hour,day_length,timezone,utc_offset
0,2018-05-01,6:05:14 AM,7:36:34 PM,4:33:00 AM,9:08:48 PM,5:38:33 AM,8:03:15 PM,12:50:54 PM,7:02:10 PM,13:31:20,America/Los_Angeles,-420.0
1,2018-05-02,6:04:13 AM,7:37:22 PM,4:31:40 AM,9:09:55 PM,5:37:28 AM,8:04:06 PM,12:50:47 PM,7:02:54 PM,13:33:09,America/Los_Angeles,-420.0
2,2018-05-03,6:03:13 AM,7:38:10 PM,4:30:21 AM,9:11:02 PM,5:36:25 AM,8:04:58 PM,12:50:41 PM,7:03:38 PM,13:34:56,America/Los_Angeles,-420.0
3,2018-05-04,6:02:14 AM,7:38:58 PM,4:29:03 AM,9:12:09 PM,5:35:22 AM,8:05:50 PM,12:50:36 PM,7:04:21 PM,13:36:43,America/Los_Angeles,-420.0
4,2018-05-05,6:01:17 AM,7:39:46 PM,4:27:45 AM,9:13:17 PM,5:34:20 AM,8:06:42 PM,12:50:31 PM,7:05:05 PM,13:38:28,America/Los_Angeles,-420.0
5,2018-05-06,6:00:20 AM,7:40:33 PM,4:26:29 AM,9:14:25 PM,5:33:19 AM,8:07:34 PM,12:50:27 PM,7:05:49 PM,13:40:13,America/Los_Angeles,-420.0
6,2018-05-07,5:59:25 AM,7:41:21 PM,4:25:14 AM,9:15:32 PM,5:32:20 AM,8:08:26 PM,12:50:23 PM,7:06:33 PM,13:41:56,America/Los_Angeles,-420.0
7,2018-05-08,5:58:31 AM,7:42:09 PM,4:24:00 AM,9:16:40 PM,5:31:22 AM,8:09:18 PM,12:50:20 PM,7:07:16 PM,13:43:37,America/Los_Angeles,-420.0
8,2018-05-09,5:57:38 AM,7:42:56 PM,4:22:47 AM,9:17:48 PM,5:30:25 AM,8:10:10 PM,12:50:17 PM,7:07:59 PM,13:45:18,America/Los_Angeles,-420.0
9,2018-05-10,5:56:47 AM,7:43:44 PM,4:21:36 AM,9:18:55 PM,5:29:29 AM,8:11:02 PM,12:50:15 PM,7:08:43 PM,13:46:57,America/Los_Angeles,-420.0
10,2018-05-11,5:55:57 AM,7:44:31 PM,4:20:25 AM,9:20:03 PM,5:28:35 AM,8:11:53 PM,12:50:14 PM,7:09:26 PM,13:48:34,America/Los_Angeles,-420.0
11,2018-05-12,5:55:08 AM,7:45:18 PM,4:19:16 AM,9:21:10 PM,5:27:41 AM,8:12:44 PM,12:50:13 PM,7:10:09 PM,13:50:10,America/Los_Angeles,-420.0
12,2018-05-13,5:54:20 AM,7:46:05 PM,4:18:08 AM,9:22:17 PM,5:26:50 AM,8:13:36 PM,12:50:13 PM,7:10:51 PM,13:51:45,America/Los_Angeles,-420.0
13,2018-05-14,5:53:34 AM,7:46:52 PM,4:17:01 AM,9:23:24 PM,5:25:59 AM,8:14:26 PM,12:50:13 PM,7:11:34 PM,13:53:18,America/Los_Angeles,-420.0
14,2018-05-15,5:52:49 AM,7:47:38 PM,4:15:56 AM,9:24:31 PM,5:25:10 AM,8:15:17 PM,12:50:13 PM,7:12:16 PM,13:54:49,America/Los_Angeles,-420.0
15,2018-05-16,5:52:05 AM,7:48:24 PM,4:14:52 AM,9:25:37 PM,5:24:22 AM,8:16:07 PM,12:50:15 PM,7:12:58 PM,13:56:19,America/Los_Angeles,-420.0
16,2018-05-17,5:51:23 AM,7:49:10 PM,4:13:50 AM,9:26:43 PM,5:23:36 AM,8:16:57 PM,12:50:17 PM,7:13:40 PM,13:57:47,America/Los_Angeles,-420.0
